Müsteri ID;Ya?;Cinsiyet;Medeni Durum;Istihdam Durumu;Meslek;Gelir;Mevcut Borclar;Kredi Skoru;Odeme Gecmisi;Kredi Turleri;Basvuru Miktari;Onay Durumu;Aylik Harcamalar;Is Yerinde Kalma Süresi;Yasad??? Bolge;Ev Sahipligi;Sigorta Durumu;Aile Uyeleri ve Bagimlilar;Finansal Danismanlik Hizmeti Kullanimi;Kredi Talep Tipi
MUST-727200;35;erkek;bekar;Yar? Zamanli;?s Zekasi (Business Intelligence) Analisti;50.000 TL;?100.000 - ?1.000.000+;751-850 (Mukemmel);Hic Gecikme;Ticari Kredi;Yuksek;onaylandi;?10.000 - ?25.000+;10 Y?l ve Üzeri;Kayseri;ev sahibi;Sigortali;0;Kullaniyor Degil;Yeniden Yapilandirma
MUST-409047;35;erkek;evli;Tam Zamanli;Mudur (Yonetici);50.000 TL;?20.000 - ?100.000;501-650 (orta);31-60 Gun Gecikme;Egitim Kredisi;Orta;inceleniyor;?2.000 - ?7.000;5-10 Y?l;Gaziantep;kira;Sigortasiz;2;Kullaniyor;?lk Basvuru
MUST-158750;40;erkek;bekar;Yar? Zamanli;Finansal Analist;70.000 TL;?100.000 - ?1.000.000+;751-850 (Mukemmel);1-30 Gun Gecikme;Ticari Kredi;Yuksek;onaylandi;?10.000 - ?25.000+;0-1 Y?l;Mersin;ev sahibi;Sigortasiz;0;Kullaniyor;Ek Kredi Talebi
MUST-724396;46;kadin;bekar;Tam Zamanli;Finansal Danisman;50.000 TL;?10.000 - ?150.000;300-500 (dusuk);120 Gun ve uzeri Gecikme;ihtiyac Kredisi;Dusuk;reddedildi;?1.000 - ?5.000;10 Y?l ve Üzeri;Gaziantep;ev sahibi;Sigortasiz;0;Kullaniyor;Ek Kredi Talebi
MUST-967975;49;erkek;bekar;Yar? Zamanli;?s Zekasi (Business Intelligence) Analisti;70.000 TL;?10.000 - ?150.000;501-650 (orta);61-90 Gun Gecikme;ihtiyac Kredisi;Dusuk;inceleniyor;?1.000 - ?5.000;3-5 Y?l;Eskisehir;kira;Sigortasiz;0;Kullaniyor;Ek Kredi Talebi
MUST-398736;49;erkek;evli;Yar? Zamanli;Yazilim Mühendisi;50.000 TL;?20.000 - ?100.000;751-850 (Mukemmel);1-30 Gun Gecikme;Egitim Kredisi;Orta;onaylandi;?2.000 - ?7.000;5-10 Y?l;Eskisehir;kira;Sigortali;1;Kullaniyor;?lk Basvuru
MUST-577478;37;erkek;bekar;Yar? Zamanli;Sosyal Medya Yöneticisi;60.000 TL;?50.000 - ?300.000;300-500 (dusuk);91-120 Gun Gecikme;Tasit Kredisi;Orta;reddedildi;?5.000 - ?15.000;3-5 Y?l;Bursa;ev sahibi;Sigortali;0;Kullaniyor;Yeniden Yapilandirma
MUST-464441;44;kadin;bekar;Tam Zamanli;Urun yoneticisi;50.000 TL;?20.000 - ?100.000;300-500 (dusuk);120 Gun ve uzeri Gecikme;Egitim Kredisi;Orta;reddedildi;?2.000 - ?7.000;10 Y?l ve Üzeri;Manisa;ev sahibi;Sigortasiz;0;Kullaniyor Degil;?lk Basvuru
MUST-798470;49;erkek;evli;Yar? Zamanli;Sosyal Medya Yöneticisi;60.000 TL;?20.000 - ?100.000;751-850 (Mukemmel);1-30 Gun Gecikme;Egitim Kredisi;Orta;onaylandi;?2.000 - ?7.000;1-3 Y?l;Izmir;ev sahibi;Sigortasiz;4;Kullaniyor Degil;?lk Basvuru
MUST-694485;36;kadin;bekar;Tam Zamanli;E-ticaret Yoneticisi;70.000 TL;?50.000 - ?300.000;751-850 (Mukemmel);Hic Gecikme;Tasit Kredisi;Orta;onaylandi;?5.000 - ?15.000;1-3 Y?l;Bursa;ev sahibi;Sigortali;0;Kullaniyor Degil;Ek Kredi Talebi
MUST-727864;36;kadin;evli;Yar? Zamanli;urun Yoneticisi;70.000 TL;?10.000 - ?150.000;300-500 (dusuk);120 Gun ve uzeri Gecikme;ihtiyac Kredisi;Dusuk;reddedildi;?1.000 - ?5.000;3-5 Y?l;Mersin;ev sahibi;Sigortali;4;Kullaniyor;?lk Basvuru
MUST-931636;48;kadin;evli;Tam Zamanli;Siber Guvenlik Uzman?;70.000 TL;?10.000 - ?150.000;300-500 (dusuk);120 Gun ve uzeri Gecikme;ihtiyac Kredisi;Dusuk;reddedildi;?1.000 - ?5.000;10 Y?l ve Üzeri;Mersin;kira;Sigortali;1;Kullaniyor;?lk Basvuru
MUST-979787;49;erkek;evli;Yar? Zamanli;Proje Yoneticisi;80.000 TL;?10.000 - ?50.000;300-500 (dusuk);120 Gun ve uzeri Gecikme;Kredi Karti;Orta;reddedildi;?500 - ?3.000;1-3 Y?l;Samsun;kira;Sigortasiz;4;Kullaniyor;Yeniden Yapilandirma
MUST-479503;46;kadin;evli;Yar? Zamanli;Urun yoneticisi;80.000 TL;?100.000 - ?1.000.000+;300-500 (dusuk);91-120 Gun Gecikme;Ticari Kredi;Yuksek;reddedildi;?10.000 - ?25.000+;5-10 Y?l;Antalya;ev sahibi;Sigortasiz;1;Kullaniyor Degil;Yeniden Yapilandirma
MUST-444779;36;kadin;evli;Tam Zamanli;Pazarlama Uzman?;50.000 TL;?300.000 - ?1.000.000+;751-850 (Mukemmel);1-30 Gun Gecikme;Konut Kredisi;Yuksek;onaylandi;?15.000 - ?30.000+;1-3 Y?l;Eskisehir;kira;Sigortali;3;Kullaniyor Degil;Yeniden Yapilandirma
MUST-140521;39;erkek;bekar;Yar? Zamanli;Yazilim Geli?tirici;80.000 TL;?10.000 - ?50.000;751-850 (Mukemmel);Hic Gecikme;Kredi Karti;Orta;onaylandi;?500 - ?3.000;5-10 Y?l;Antalya;kira;Sigortasiz;0;Kullaniyor Degil;Ek Kredi Talebi
MUST-330707;47;kadin;evli;Tam Zamanli;Veri Analisti;50.000 TL;?10.000 - ?150.000;501-650 (orta);61-90 Gun Gecikme;ihtiyac Kredisi;Dusuk;inceleniyor;?1.000 - ?5.000;3-5 Y?l;Antalya;kira;Sigortasiz;1;Kullaniyor;?lk Basvuru
MUST-200356;45;kadin;bekar;Tam Zamanli;Pazarlama Uzman?;70.000 TL;?100.000 - ?1.000.000+;300-500 (dusuk);91-120 Gun Gecikme;Ticari Kredi;Yuksek;reddedildi;?10.000 - ?25.000+;3-5 Y?l;Mersin;kira;Sigortasiz;0;Kullaniyor;Ek Kredi Talebi
MUST-878903;35;erkek;bekar;Yar? Zamanli;Yazilim Mühendisi;80.000 TL;?300.000 - ?1.000.000+;501-650 (orta);31-60 Gun Gecikme;Konut Kredisi;Yuksek;inceleniyor;?15.000 - ?30.000+;3-5 Y?l;Adana;kira;Sigortali;0;Kullaniyor;Ek Kredi Talebi
MUST-432874;42;kadin;evli;Tam Zamanli;Urun yoneticisi;60.000 TL;?100.000 - ?1.000.000+;300-500 (dusuk);91-120 Gun Gecikme;Ticari Kredi;Yuksek;reddedildi;?10.000 - ?25.000+;1-3 Y?l;Bursa;kira;Sigortali;2;Kullaniyor Degil;Yeniden Yapilandirma
MUST-140231;46;erkek;bekar;Tam Zamanli;Saglik Yonetimi Uzmani;70.000 TL;?50.000 - ?300.000;300-500 (dusuk);91-120 Gun Gecikme;Tasit Kredisi;Orta;reddedildi;?5.000 - ?15.000;1-3 Y?l;Samsun;ev sahibi;Sigortali;0;Kullaniyor;Yeniden Yapilandirma
MUST-481507;45;kadin;evli;Yar? Zamanli;Web Gelistirici;60.000 TL;?10.000 - ?150.000;300-500 (dusuk);120 Gun ve uzeri Gecikme;ihtiyac Kredisi;Dusuk;reddedildi;?1.000 - ?5.000;5-10 Y?l;Ankara;kira;Sigortali;5;Kullaniyor Degil;?lk Basvuru
MUST-502268;48;erkek;bekar;Tam Zamanli;Grafik Tasarimci;60.000 TL;?50.000 - ?300.000;751-850 (Mukemmel);1-30 Gun Gecikme;Tasit Kredisi;Orta;onaylandi;?5.000 - ?15.000;0-1 Y?l;Bursa;ev sahibi;Sigortasiz;0;Kullaniyor Degil;?lk Basvuru
MUST-670192;40;erkek;evli;Yar? Zamanli;?s Analisti;60.000 TL;?50.000 - ?300.000;501-650 (orta);61-90 Gun Gecikme;Tasit Kredisi;Orta;inceleniyor;?5.000 - ?15.000;1-3 Y?l;Izmir;ev sahibi;Sigortali;1;Kullaniyor;Yeniden Yapilandirma
MUST-123209;43;kadin;evli;Tam Zamanli;E-ticaret Yoneticisi;50.000 TL;?10.000 - ?50.000;501-650 (orta);31-60 Gun Gecikme;Kredi Karti;Orta;inceleniyor;?500 - ?3.000;3-5 Y?l;Kayseri;ev sahibi;Sigortasiz;4;Kullaniyor Degil;Yeniden Yapilandirma
MUST-844643;50;kadin;bekar;Tam Zamanli;icerik ureticisi;60.000 TL;?10.000 - ?50.000;751-850 (Mukemmel);1-30 Gun Gecikme;Kredi Karti;Orta;onaylandi;?500 - ?3.000;5-10 Y?l;Manisa;ev sahibi;Sigortasiz;0;Kullaniyor Degil;?lk Basvuru
MUST-820367;38;kadin;bekar;Yar? Zamanli;Pazarlama Uzman?;50.000 TL;?100.000 - ?1.000.000+;751-850 (Mukemmel);Hic Gecikme;Ticari Kredi;Yuksek;onaylandi;?10.000 - ?25.000+;3-5 Y?l;Istanbul;ev sahibi;Sigortasiz;0;Kullaniyor;?lk Basvuru
MUST-660041;38;erkek;evli;Yar? Zamanli;Web Gelistirici;50.000 TL;?10.000 - ?50.000;751-850 (Mukemmel);1-30 Gun Gecikme;Kredi Karti;Orta;onaylandi;?500 - ?3.000;1-3 Y?l;Gaziantep;ev sahibi;Sigortali;3;Kullaniyor;Ek Kredi Talebi
MUST-988097;38;kadin;evli;Yar? Zamanli;Egitmen/Koc (Kisisel Gelisim Kocu);60.000 TL;?20.000 - ?100.000;751-850 (Mukemmel);1-30 Gun Gecikme;Egitim Kredisi;Orta;onaylandi;?2.000 - ?7.000;5-10 Y?l;Izmir;kira;Sigortasiz;4;Kullaniyor Degil;?lk Basvuru
MUST-944834;37;kadin;bekar;Yar? Zamanli;Hekim (Doktor);80.000 TL;?100.000 - ?1.000.000+;300-500 (dusuk);120 Gun ve uzeri Gecikme;Ticari Kredi;Yuksek;reddedildi;?10.000 - ?25.000+;0-1 Y?l;Ankara;kira;Sigortali;0;Kullaniyor Degil;Yeniden Yapilandirma
MUST-494863;39;erkek;bekar;Tam Zamanli;icerik ureticisi;70.000 TL;?10.000 - ?50.000;501-650 (orta);61-90 Gun Gecikme;Kredi Karti;Orta;inceleniyor;?500 - ?3.000;10 Y?l ve Üzeri;Eskisehir;ev sahibi;Sigortali;0;Kullaniyor;?lk Basvuru
MUST-896883;47;erkek;bekar;Yar? Zamanli;Grafik Tasarimci;70.000 TL;?10.000 - ?50.000;751-850 (Mukemmel);Hic Gecikme;Kredi Karti;Orta;onaylandi;?500 - ?3.000;1-3 Y?l;Adana;kira;Sigortali;0;Kullaniyor;Yeniden Yapilandirma
MUST-461340;38;erkek;bekar;Tam Zamanli;Makine Mühendisi;50.000 TL;?50.000 - ?300.000;300-500 (dusuk);120 Gun ve uzeri Gecikme;Tasit Kredisi;Orta;reddedildi;?5.000 - ?15.000;3-5 Y?l;Istanbul;ev sahibi;Sigortasiz;0;Kullaniyor Degil;Ek Kredi Talebi
MUST-534544;42;erkek;bekar;Yar? Zamanli;icerik ureticisi;80.000 TL;?10.000 - ?150.000;300-500 (dusuk);91-120 Gun Gecikme;ihtiyac Kredisi;Dusuk;reddedildi;?1.000 - ?5.000;5-10 Y?l;Samsun;kira;Sigortali;0;Kullaniyor;?lk Basvuru
MUST-971386;40;erkek;bekar;Tam Zamanli;Saglik Yonetimi Uzmani;50.000 TL;?50.000 - ?300.000;300-500 (dusuk);91-120 Gun Gecikme;Tasit Kredisi;Orta;reddedildi;?5.000 - ?15.000;0-1 Y?l;Konya;kira;Sigortali;0;Kullaniyor Degil;Yeniden Yapilandirma
MUST-612928;49;kadin;evli;Yar? Zamanli;?s Analisti;90.000 TL;?10.000 - ?50.000;501-650 (orta);31-60 Gun Gecikme;Kredi Karti;Orta;inceleniyor;?500 - ?3.000;3-5 Y?l;Samsun;ev sahibi;Sigortali;1;Kullaniyor Degil;?lk Basvuru
MUST-995121;50;kadin;bekar;Yar? Zamanli;Veri Analisti;80.000 TL;?10.000 - ?150.000;300-500 (dusuk);120 Gun ve uzeri Gecikme;ihtiyac Kredisi;Dusuk;reddedildi;?1.000 - ?5.000;0-1 Y?l;Sanl?urfa;ev sahibi;Sigortasiz;0;Kullaniyor;Yeniden Yapilandirma
MUST-226102;36;erkek;bekar;Yar? Zamanli;Egitmen/Koc (Kisisel Gelisim Kocu);50.000 TL;?50.000 - ?300.000;751-850 (Mukemmel);1-30 Gun Gecikme;Tasit Kredisi;Orta;onaylandi;?5.000 - ?15.000;3-5 Y?l;Gaziantep;kira;Sigortasiz;0;Kullaniyor;?lk Basvuru
MUST-897294;35;erkek;evli;Yar? Zamanli;Kendi isini Yapan (Girisimci);60.000 TL;?300.000 - ?1.000.000+;501-650 (orta);61-90 Gun Gecikme;Konut Kredisi;Yuksek;inceleniyor;?15.000 - ?30.000+;5-10 Y?l;Konya;kira;Sigortasiz;1;Kullaniyor;Yeniden Yapilandirma
MUST-793265;48;kadin;bekar;Yar? Zamanli;Veri Analisti;80.000 TL;?100.000 - ?1.000.000+;751-850 (Mukemmel);Hic Gecikme;Ticari Kredi;Yuksek;onaylandi;?10.000 - ?25.000+;3-5 Y?l;Gaziantep;kira;Sigortasiz;0;Kullaniyor;Yeniden Yapilandirma
MUST-718731;42;kadin;evli;Tam Zamanli;Hekim (Doktor);50.000 TL;?20.000 - ?100.000;751-850 (Mukemmel);Hic Gecikme;Egitim Kredisi;Orta;onaylandi;?2.000 - ?7.000;0-1 Y?l;Manisa;kira;Sigortali;4;Kullaniyor Degil;Ek Kredi Talebi
MUST-774568;42;erkek;evli;Yar? Zamanli;Makine Mühendisi;50.000 TL;?10.000 - ?150.000;751-850 (Mukemmel);1-30 Gun Gecikme;ihtiyac Kredisi;Dusuk;onaylandi;?1.000 - ?5.000;0-1 Y?l;Istanbul;ev sahibi;Sigortasiz;1;Kullaniyor;Ek Kredi Talebi
MUST-495438;49;kadin;evli;Tam Zamanli;Pazarlama Muduru;70.000 TL;?300.000 - ?1.000.000+;501-650 (orta);61-90 Gun Gecikme;Konut Kredisi;Yuksek;inceleniyor;?15.000 - ?30.000+;1-3 Y?l;Ankara;kira;Sigortasiz;1;Kullaniyor Degil;Ek Kredi Talebi
MUST-283029;42;erkek;bekar;Tam Zamanli;ic Mimar;90.000 TL;?50.000 - ?300.000;300-500 (dusuk);120 Gun ve uzeri Gecikme;Tasit Kredisi;Orta;reddedildi;?5.000 - ?15.000;1-3 Y?l;Manisa;kira;Sigortasiz;0;Kullaniyor;Yeniden Yapilandirma
MUST-750268;36;erkek;evli;Tam Zamanli;Proje Yoneticisi;70.000 TL;?10.000 - ?150.000;501-650 (orta);61-90 Gun Gecikme;ihtiyac Kredisi;Dusuk;inceleniyor;?1.000 - ?5.000;3-5 Y?l;Bursa;ev sahibi;Sigortasiz;3;Kullaniyor Degil;Yeniden Yapilandirma
MUST-940783;49;kadin;bekar;Tam Zamanli;Yazilim Mühendisi;80.000 TL;?300.000 - ?1.000.000+;751-850 (Mukemmel);1-30 Gun Gecikme;Konut Kredisi;Yuksek;onaylandi;?15.000 - ?30.000+;1-3 Y?l;Antalya;kira;Sigortali;0;Kullaniyor;Ek Kredi Talebi
MUST-152884;47;kadin;bekar;Tam Zamanli;Pazarlama Uzman?;90.000 TL;?20.000 - ?100.000;300-500 (dusuk);91-120 Gun Gecikme;Egitim Kredisi;Orta;reddedildi;?2.000 - ?7.000;1-3 Y?l;Kayseri;ev sahibi;Sigortasiz;0;Kullaniyor;?lk Basvuru
MUST-995938;39;kadin;bekar;Yar? Zamanli;Proje Yoneticisi;60.000 TL;?100.000 - ?1.000.000+;300-500 (dusuk);120 Gun ve uzeri Gecikme;Ticari Kredi;Yuksek;reddedildi;?10.000 - ?25.000+;0-1 Y?l;Sanl?urfa;kira;Sigortali;0;Kullaniyor;?lk Basvuru
MUST-809049;46;erkek;bekar;Yar? Zamanli;Siber Guvenlik Uzman?;50.000 TL;?20.000 - ?100.000;501-650 (orta);61-90 Gun Gecikme;Egitim Kredisi;Orta;inceleniyor;?2.000 - ?7.000;1-3 Y?l;Sanl?urfa;ev sahibi;Sigortasiz;0;Kullaniyor;Yeniden Yapilandirma
MUST-329610;42;kadin;bekar;Yar? Zamanli;Yazilim Geli?tirici;70.000 TL;?20.000 - ?100.000;751-850 (Mukemmel);Hic Gecikme;Egitim Kredisi;Orta;onaylandi;?2.000 - ?7.000;0-1 Y?l;Eskisehir;kira;Sigortali;0;Kullaniyor Degil;?lk Basvuru
MUST-851868;41;erkek;bekar;Yar? Zamanli;icerik ureticisi;70.000 TL;?100.000 - ?1.000.000+;751-850 (Mukemmel);Hic Gecikme;Ticari Kredi;Yuksek;onaylandi;?10.000 - ?25.000+;10 Y?l ve Üzeri;Trabzon;kira;Sigortasiz;0;Kullaniyor Degil;Ek Kredi Talebi
MUST-362171;50;kadin;evli;Yar? Zamanli;?s Zekasi (Business Intelligence) Analisti;50.000 TL;?10.000 - ?150.000;751-850 (Mukemmel);Hic Gecikme;ihtiyac Kredisi;Dusuk;onaylandi;?1.000 - ?5.000;0-1 Y?l;Bursa;ev sahibi;Sigortali;5;Kullaniyor Degil;Ek Kredi Talebi
MUST-309247;40;kadin;evli;Yar? Zamanli;?s Analisti;60.000 TL;?100.000 - ?1.000.000+;751-850 (Mukemmel);1-30 Gun Gecikme;Ticari Kredi;Yuksek;onaylandi;?10.000 - ?25.000+;5-10 Y?l;Mersin;ev sahibi;Sigortali;4;Kullaniyor Degil;Yeniden Yapilandirma
MUST-144264;50;kadin;bekar;Tam Zamanli;E-ticaret Yoneticisi;60.000 TL;?20.000 - ?100.000;501-650 (orta);31-60 Gun Gecikme;Egitim Kredisi;Orta;inceleniyor;?2.000 - ?7.000;3-5 Y?l;Ankara;kira;Sigortasiz;0;Kullaniyor Degil;Ek Kredi Talebi
MUST-113937;44;erkek;bekar;Tam Zamanli;Makine Mühendisi;90.000 TL;?10.000 - ?150.000;501-650 (orta);31-60 Gun Gecikme;ihtiyac Kredisi;Dusuk;inceleniyor;?1.000 - ?5.000;1-3 Y?l;Gaziantep;ev sahibi;Sigortasiz;0;Kullaniyor Degil;Yeniden Yapilandirma
MUST-253290;48;kadin;evli;Yar? Zamanli;Finansal Analist;90.000 TL;?10.000 - ?50.000;300-500 (dusuk);120 Gun ve uzeri Gecikme;Kredi Karti;Orta;reddedildi;?500 - ?3.000;1-3 Y?l;Konya;kira;Sigortali;3;Kullaniyor;Ek Kredi Talebi
MUST-556655;37;erkek;bekar;Yar? Zamanli;Klinik Psikolog;80.000 TL;?50.000 - ?300.000;300-500 (dusuk);120 Gun ve uzeri Gecikme;Tasit Kredisi;Orta;reddedildi;?5.000 - ?15.000;0-1 Y?l;Mersin;ev sahibi;Sigortali;0;Kullaniyor;?lk Basvuru
MUST-741241;40;kadin;bekar;Tam Zamanli;Arastirma Gorevlisi;70.000 TL;?100.000 - ?1.000.000+;751-850 (Mukemmel);Hic Gecikme;Ticari Kredi;Yuksek;onaylandi;?10.000 - ?25.000+;10 Y?l ve Üzeri;Trabzon;ev sahibi;Sigortali;0;Kullaniyor Degil;Ek Kredi Talebi
MUST-981621;39;erkek;evli;Tam Zamanli;Egitmen/Koc (Kisisel Gelisim Kocu);60.000 TL;?10.000 - ?50.000;300-500 (dusuk);120 Gun ve uzeri Gecikme;Kredi Karti;Orta;reddedildi;?500 - ?3.000;10 Y?l ve Üzeri;Adana;kira;Sigortasiz;4;Kullaniyor;Ek Kredi Talebi
MUST-959944;46;erkek;bekar;Tam Zamanli;?s Analisti;80.000 TL;?20.000 - ?100.000;501-650 (orta);61-90 Gun Gecikme;Egitim Kredisi;Orta;inceleniyor;?2.000 - ?7.000;5-10 Y?l;Mersin;kira;Sigortasiz;0;Kullaniyor Degil;Ek Kredi Talebi
MUST-916785;41;kadin;evli;Yar? Zamanli;Finansal Danisman;60.000 TL;?100.000 - ?1.000.000+;751-850 (Mukemmel);Hic Gecikme;Ticari Kredi;Yuksek;onaylandi;?10.000 - ?25.000+;1-3 Y?l;Istanbul;ev sahibi;Sigortali;2;Kullaniyor;Ek Kredi Talebi
MUST-611322;37;erkek;bekar;Tam Zamanli;Kendi isini Yapan (Girisimci);60.000 TL;?300.000 - ?1.000.000+;300-500 (dusuk);120 Gun ve uzeri Gecikme;Konut Kredisi;Yuksek;reddedildi;?15.000 - ?30.000+;5-10 Y?l;Eskisehir;ev sahibi;Sigortali;0;Kullaniyor Degil;?lk Basvuru
MUST-781764;47;kadin;bekar;Tam Zamanli;Kendi isini Yapan (Girisimci);60.000 TL;?300.000 - ?1.000.000+;501-650 (orta);31-60 Gun Gecikme;Konut Kredisi;Yuksek;inceleniyor;?15.000 - ?30.000+;10 Y?l ve Üzeri;Antalya;ev sahibi;Sigortali;0;Kullaniyor;Yeniden Yapilandirma
MUST-170615;37;erkek;bekar;Yar? Zamanli;Finansal Danisman;80.000 TL;?20.000 - ?100.000;751-850 (Mukemmel);Hic Gecikme;Egitim Kredisi;Orta;onaylandi;?2.000 - ?7.000;10 Y?l ve Üzeri;Antalya;kira;Sigortali;0;Kullaniyor Degil;Ek Kredi Talebi
MUST-811452;48;erkek;evli;Yar? Zamanli;Finansal Danisman;60.000 TL;?50.000 - ?300.000;751-850 (Mukemmel);Hic Gecikme;Tasit Kredisi;Orta;onaylandi;?5.000 - ?15.000;5-10 Y?l;Mersin;ev sahibi;Sigortali;1;Kullaniyor Degil;?lk Basvuru
MUST-763354;37;erkek;bekar;Yar? Zamanli;Grafik Tasarimci;70.000 TL;?100.000 - ?1.000.000+;501-650 (orta);61-90 Gun Gecikme;Ticari Kredi;Yuksek;inceleniyor;?10.000 - ?25.000+;0-1 Y?l;Eskisehir;ev sahibi;Sigortasiz;0;Kullaniyor Degil;?lk Basvuru
MUST-191986;44;kadin;evli;Yar? Zamanli;Klinik Psikolog;80.000 TL;?300.000 - ?1.000.000+;751-850 (Mukemmel);Hic Gecikme;Konut Kredisi;Yuksek;onaylandi;?15.000 - ?30.000+;5-10 Y?l;Bursa;ev sahibi;Sigortasiz;4;Kullaniyor;?lk Basvuru
MUST-700631;35;kadin;evli;Yar? Zamanli;Mudur (Yonetici);50.000 TL;?20.000 - ?100.000;751-850 (Mukemmel);1-30 Gun Gecikme;Egitim Kredisi;Orta;onaylandi;?2.000 - ?7.000;3-5 Y?l;Bursa;ev sahibi;Sigortali;4;Kullaniyor Degil;Ek Kredi Talebi
MUST-828499;49;erkek;bekar;Yar? Zamanli;ic Mimar;60.000 TL;?10.000 - ?50.000;300-500 (dusuk);91-120 Gun Gecikme;Kredi Karti;Orta;reddedildi;?500 - ?3.000;3-5 Y?l;Ankara;kira;Sigortasiz;0;Kullaniyor Degil;?lk Basvuru
MUST-451696;38;erkek;bekar;Yar? Zamanli;Saglik Yonetimi Uzmani;50.000 TL;?20.000 - ?100.000;751-850 (Mukemmel);Hic Gecikme;Egitim Kredisi;Orta;onaylandi;?2.000 - ?7.000;10 Y?l ve Üzeri;Manisa;ev sahibi;Sigortasiz;0;Kullaniyor;Yeniden Yapilandirma
MUST-546812;38;erkek;evli;Yar? Zamanli;Elektrik Muhendisi;70.000 TL;?300.000 - ?1.000.000+;751-850 (Mukemmel);1-30 Gun Gecikme;Konut Kredisi;Yuksek;onaylandi;?15.000 - ?30.000+;3-5 Y?l;Adana;kira;Sigortasiz;5;Kullaniyor Degil;Ek Kredi Talebi
MUST-681242;44;kadin;bekar;Tam Zamanli;Elektrik Muhendisi;50.000 TL;?100.000 - ?1.000.000+;501-650 (orta);61-90 Gun Gecikme;Ticari Kredi;Yuksek;inceleniyor;?10.000 - ?25.000+;5-10 Y?l;Eskisehir;ev sahibi;Sigortasiz;0;Kullaniyor Degil;?lk Basvuru
